NameC,射　甲丹
NameH,しゃ　こうたん
UseCharacter,0
Anim,Motion_0_GroundAttack00
MoveVec,0*0*1*10|0*0*1*2.5
Damage,1|1|1|1|1
Stun,5|5|100|1|1
ColVec,0*1*1*0.5|0*1*1*0.5|0*1*1*0.5|0*1*1.5*1|0*1*1.5*0.5
KnockBackVec,0*0*1*0.1|0*0*1*0.1|0*0*1*0.1|0*0*1*0.1|0*-10*5*0.1
Introduction,基本の連打攻撃
UnLock,0|0|0
Chain,1
MoveType,0|0
AttackType,3|0|3|1|6
DownEnable,0|0|0|0|0
ColType,0|0|0|0|0
TimeType,0|0|0|0
HitEffect,HitEffect00|HitEffect00|HitEffect00|HitEffect00|HitEffect00
HitEffectPos,0*0.75*1|0*0.75*1|0*0.75*1|0*0.75*1|0*1*1
HitEffectAngle,0*0*0|0*-45*0|-30*30*0|0*45*0|45*0*0
HitStop,0|0|0|0|0
Charge,0|0|0|0|0
HoldPos,0*0*0
LocationFlag,0
HitSE,_L|_L|_L|_M|_M
