NameC,射　舞誅
NameH,しゃ　ぶちゅう
UseCharacter,0
Anim,Motion_0_AirAttack00
MoveVec,0*1*0*0.1|0*1*0*1.0|0*1*0*0.1|0*1*0*1.0|0*1*0*1.5|0*1*0*0.2|0*1*0*0.5|0*1*0*2.0
Damage,1|1|1
Stun,1|1|1
ColVec,0*1*1*1|0*1*1*1|0*0.5*1*1
KnockBackVec,0*3*0*0.1|0*3.5*0*0.1|0*1*4*0.1
Introduction,空中で基本の連打攻撃。
UnLock,2|0|0
Chain,1
MoveType,1|1|1|1|1|1|1|1
AttackType,20|20|13
DownEnable,0|0|0
ColType,0|0|0
TimeType,0|0
HitEffect,HitEffect00|HitEffect00|HitEffect00
HitEffectPos,0*0.5*1|0*0.75*1|0*0.75*1
HitEffectAngle,30*-45*0|-30*45*0|0*-45*0
HitStop,0|0|0
Charge,0|0|0
HoldPos,0*0*0
LocationFlag,2
HitSE,_L|_L|_M
