NameC,射　破憎
NameH,しゃ　ばぞう
UseCharacter,0
Anim,Motion_0_GroundAttack07
MoveVec,0*0*1*3.5|0*0*1*4.5|0*0*1*4|0*0*1*3|0*0*1*4|0*0*-1*1
Damage,0|0|0|0|0|0|0
Stun,0|0|0|0|20|0
ColVec,0*0.5*0.75*1|0*0.5*0.75*1|0*0.5*0.75*1|0*0*1*0.5|0*0*1*1|0*0.75*1*1
KnockBackVec,0*0*6*0.1|0*0*8*0.1|0*-10*5*0.1|0*0*1*0.1|0*0*0*0|0*0.5*10*0.1
Introduction,強力な連打攻撃。
UnLock,0|1|0
Chain,1
MoveType,0|0|0|0|0|0
AttackType,1|4|6|6|30|2
DownEnable,0|0|0|1|1|0
ColType,0|0|0|0|0|0
TimeType,0|0|0|0|0|0
HitEffect,HitEffect00|HitEffect00|HitEffect00|HitEffect01|null|HitEffect01
HitEffectPos,0*0.75*1.25|0*0.75*1|0*0.75*1|0*0*1|0*0*1|0*0.75*1.5
HitEffectAngle,0*45*0|45*0*0|45*0*0|-90*0*0|-90*0*0|0*0*0
HitStop,0|0|0|0|0|0
Charge,0|0|0|0|0|0
HoldPos,0*0*0|0*0*0|0*0*0|0*0*0|0*0*0.65
