NameC,伐刳
NameH,ばつくれ
UseCharacter,0
Anim,Motion_0_GroundAttack09
MoveVec,0*0*1*3|0*0*1*1|0*0*1*3
Damage,1|1|1
Stun,1|1|1
ColVec,0*1.75*1*1.5|0*1.75*0.5*1.5|0*1.75*0.5*1.5
KnockBackVec,0*0.5*0*0.1|0*2*-2.5*0.1|0*2*-2.5*0.1
Introduction,全てダウン中の相手に当たる下段チェイン
UnLock,1|0|2
Chain,0
MoveType,1|1|1
AttackType,20|20|20
DownEnable,0|0|0
ColType,0|0|0
TimeType,0|0|0
HitEffect,HitEffect00|HitEffect00|HitEffect00
HitEffectPos,0*1*1|0*1*1|0*1*1
HitEffectAngle,-45*0*0|-45*0*0|-45*0*0
HitStop,0|0|0
Charge,0|0|0
HoldPos,0*0*0
AirAttackFlag,0
