NameC,頑刳
NameH,がんくれ
UseCharacter,0
Anim,Motion_0_GroundAttack09
MoveVec,0*0*1*1|0*0*3*1|0*0*5*1
Damage,1|0|1
Stun,1|0|1
Deadly,1|0|1
ColVec,0*0.5*0.5*1|0*0.25*0.5*0.5|0*0.75*0.5*1
KnockBackVec,0*0*0*0|0*0*0*0|0*8*0*0.1
Introduction,踏みつけ＞引き起こし＞打ち上げのチェイン
UnLock,100|100|100
Chain,1
MoveType,0|0|0
AttackType,6|30|11
DownEnable,1|1|0
ColType,0|0|0
TimeType,0
HitEffect,HitEffect01|HitEffect00|HitEffect01
HitEffectPos,0*0.25*0.5|0*0.25*0.5|0*1*1
HitEffectAngle,-90*0*0|-90*0*0|-45*0*0
HitStop,0|0|0
Charge,0|0|0
HoldPos,0*0*0|0*0*0.6|0*0*0
LocationFlag,0
HitSE,_M|_L|_H
CoolDownTime,10
