NameC,幟
NameH,のぼせ
UseCharacter,0
Anim,Motion_0_GroundAttack10
MoveVec,0*0*1*1|0*0*7.5*1|0*0*2*1
Damage,1|1|1
Stun,1|1|1
Deadly,1|1|1
ColVec,0*0.25*0.75*1|0*1.5*0.5*0.5|0*0*0.5*0.5
KnockBackVec,0*2*0*0.1|0*5.5*0*0.1|0*0*0*0.1
Introduction,相手を蹴り上げる。打ち上げ。
UnLock,0|2|2
Chain,0|0|0
MoveType,0|0|0
AttackType,11|11|6
DownEnable,1|0|1
ColType,0|0|9
TimeType,100|100|100
HitEffect,HitEffect00|HitEffect00|HitEffect01
HitEffectPos,0*0*1|0*0*1|0*0*0.75
HitEffectAngle,-45*0*0|-90*0*0|-90*0*0
HitStop,0|0|0
Charge,0|0|0
HoldPos,0*0*0
LocationFlag,0
HitSE,_M|_L|_H
CoolDownTime,10
