NameC,膚断
NameH,はだだち
UseCharacter,1
Anim,Motion_1_GroundAttack00
MoveVec,0*0*1*1|0*0*1*12|0*0*1*5
Damage,0|0|0|0|0
Stun,1|1|1|1|1
ColVec,0*1*1*1.5|2.5*1*225*270|0*1*1*1.5|0*1*1*1.5|0*1*1*1.5
KnockBackVec,0*0*20*0.05|0*0*5*0.1|0*-10*0*0.1|0*-10*0*0.1|0*-10*0*0.1
Introduction,基本の連打攻撃
UnLock,0|0|0
Chain,1
MoveType,0|0|0
AttackType,0|0|6|6|6
DownEnable,0|0|1|1|1
ColType,0|4|0|0|0
TimeType,0|0|0|0
HitEffect,HitEffect10|HitEffect10|HitEffect10|HitEffect10|HitEffect11
HitEffectPos,0*0.75*1.5|0*0.75*0|0*1.25*1.25|0*0.75*1.25|0*0*1.25
HitEffectAngle,0*0*0|0*45*0|45*-45*0|45*45*0|-90*0*0
HitStop,0|0|0|0|0
Charge,0|0|0|0|0
HoldPos,0*0*0
LocationFlag,0
HitSE,_L|_L|_L|_L|_H
