NameC,畔放
NameH,あはなち
UseCharacter,1
Anim,Motion_1_AirAttack00
MoveVec,0*1*0*0.1|0*1*0*3.0
Damage,0|0|0
Stun,1|1|1
ColVec,0*1.25*1*1|0*1.25*1*1|0*1.5*1.5*2
KnockBackVec,0*1.5*0*0.1|0*2*0*0.1|0*-20*0*0.5
Introduction,空中で基本の連打攻撃。
UnLock,2|0|0
Chain,1
MoveType,1|1
AttackType,20|20|6
DownEnable,0|0|0
ColType,0|0|0
TimeType,0|0
HitEffect,HitEffect10|HitEffect10|HitEffect11
HitEffectPos,0*1*1.25|0*0.75*1|0*0.75*1.5
HitEffectAngle,0*45*0|-30*45*0|90*0*0
HitStop,0|0|0
Charge,0|0|0
HoldPos,0*0*0
LocationFlag,2
HitSE,_L|_L|_H
