NameC,黄泉抜け
NameH,よもつぬけ
UseCharacter,1
Anim,Motion_1_GroundAttack02
MoveVec,0*0*1*5|0*0*1*30|0*0*-1*30|0*0*-1*5
Damage,1|1
Stun,1|1
Deadly,1|1
ColVec,0*0.75*0*2|0*0.75*0*2
KnockBackVec,0*0*-3*0.1|0*0*2*0.1
Introduction,相手の前後を高速で往復しながら切り払う。
UnLock,1|0|1
Chain,0
MoveType,6|6|6|6
AttackType,1|3
DownEnable,0|0
ColType,0|0
TimeType,100|100
HitEffect,HitEffect10|HitEffect10
HitEffectPos,0*0.75*0|0*0.75*0
HitEffectAngle,0*0*0|0*180*0
HitStop,0|0
Charge,0|0
HoldPos,0*0*0
LocationFlag,0
HitSE,_L|_L
CoolDownTime,10
