NameC,兎乾し
NameH,うさぎぼし
UseCharacter,1
Anim,Motion_1_GroundAttack03
MoveVec,0*0*1*3|0*0*1*2.5|0*0*0*0
Damage,0|1|1
Stun,1|1|1
Deadly,0|0|1
ColVec,0*1*0.75*1.75|0*0*0.25*1.25|0*0*0.25*1.25
KnockBackVec,0*-2.5*5*0.1|0*0*0*0|0*0*0*0
Introduction,刀を両手で横に持って飛び掛り、首にかけて引き起こしす。
UnLock,0|0|1
Chain,0
MoveType,0|6|6
AttackType,4|6|30
DownEnable,1|1|1
ColType,0|0|0
TimeType,100|100|100
HitEffect,HitEffect10|HitEffect10|HitEffect12
HitEffectPos,0*1.5*1.5|0*0.5*0.5|0*0.5*0.5
HitEffectAngle,-45*0*0|-90*0*0|0*0*0
HitStop,0|0|0
Charge,0|0|0
HoldPos,0*0*0|0*0*0|0*0*0.5
LocationFlag,0
HitSE,_L|_M|_L
