NameC,御雷坐し
NameH,みかづちざし
UseCharacter,1
Anim,Motion_1_AirAttack01
MoveVec,0*2*1*1|0*-15*0*1|0*0*0*0|0*0*-1*1.5
Damage,0|0|0
Stun,1|1|1
Deadly,1|1|1
ColVec,0*0.5*0.5*1|0*0*0.5*1|0*0*0.5*1
KnockBackVec,0*-20*0*0.1|0*0*0*0|0*0*0*0
Introduction,真下に向かって急降下し、突き刺してドリル
UnLock,2|1|2
Chain,0
MoveType,1|3|6|0
AttackType,6|6|6
DownEnable,1|1|1
ColType,0|9|9
TimeType,1|100|100
HitEffect,HitEffect10|HitEffect11|HitEffect10
HitEffectPos,0*0*0|0*0*0|0*0*0
HitEffectAngle,90*0*0|-90*0*0|-90*0*0
HitStop,0|0|0
Charge,0|0|0
HoldPos,0*0*0
LocationFlag,2
HitSE,_L|_M|_L
