NameC,蠱物
NameH,まじもの
UseCharacter,1
Anim,Motion_1_GroundAttack08
MoveVec,0*0*5*1|0*0*1*1|0*0*1.5*1|0*7.5*0*1|0*1*0*1
Damage,0|0|0|0|0|0|0|0|0
Stun,1|1|1|1|1|1|1|1|1
Deadly,1|1|1|1|1|1|1|1|1
ColVec,0*1*1.25*1|0*1*1.25*1.5|0*1*1.25*1.5|0*1*1.25*1.5|2.5*0.25*225*180|0*1*1.25*1|0*1*1.25*1|0*0.25*0.75*2|0*0.5*0.5*2
KnockBackVec,0*0*1*0.1|0*0*1*0.1|0*0*1*0.1|0*0*1*0.1|0*-2.5*5*0.1|0*0*1*0.1|0*0*1*0.1|0*2*3*0.1|0*5*0*0.1
Introduction,強力な連打攻撃。
UnLock,100|100|100
Chain,1|1|1|1|1
MoveType,0|0|0|2|1
AttackType,4|1|4|4|14|6|6|11|11
DownEnable,1|0|1|1|1|1|1|1|1
ColType,0|0|0|0|5|0|0|1|1
TimeType,0|0|0|0
HitEffect,HitEffect10|HitEffect10|HitEffect10|HitEffect10|HitEffect10|HitEffect10|HitEffect10|HitEffect10|HitEffect11
HitEffectPos,0*1*1|0*0.75*1.25|0*1.25*1.25|0*0.25*1|0*0.25*0|0*0*1|0*0*1|0*0*1|0*0.5*1
HitEffectAngle,45*45*0|0*45*0|45*-45*0|-45*45*0|0*90*0|-90*0*0|-90*0*0|-45*0*0|-90*0*0
HitStop,0|0|0|0|0|0|0|0|0
Charge,0|0|0|0|0|0|0|0|0
HoldPos,0*0*0
LocationFlag,0
HitSE,_M|_L|_L|_L|_L|_M|_M|_L|_H
CoolDownTime,10
