NameC,爬
NameH,は
UseCharacter,2
Anim,Motion_2_GroundAttack00
MoveVec,0*0*1*10|0*0*1*2.5|0*0*1*3.5|0*0*-1*6|0*0*-1*2
Damage,1|1|1|1|1
Stun,5|5|100|1|1
ColVec,0*1*1*0.5|0*1*1*0.5|0*1*1*0.5|0*0.25*1.5*1|0*1*1.5*0.5
KnockBackVec,0*0*1*0.1|0*0*1*0.1|0*0*7.5*0.1|0*0*1*0.1|0*0*-0.25*0.5
Introduction,基本の連打攻撃
UnLock,0|0|0
Chain,1
MoveType,0|0|0|0|0
AttackType,0|3|4|14|13
DownEnable,0|0|0|1|0
ColType,0|0|0|0|0
TimeType,0|0|0|0
HitEffect,HitEffect20|HitEffect20|HitEffect20|HitEffect20|HitEffect21
HitEffectPos,0*0.75*1|0*1.25*1|0*1.25*1|0*0.25*1|0*0.75*1
HitEffectAngle,0*0*0|-30*45*0|-30*45*0|0*45*0|0*0*0
HitStop,0|0|0|0|0
Charge,0|0|0|0|0
HoldPos,0*0*0
LocationFlag,0
HitSE,_L|_L|_M|_M|_H
