NameC,凭蚕
NameH,もたれかいこ
UseCharacter,2
Anim,Motion_2_AirAttack01
MoveVec,0*-1*0.5*1|0*3*1*2|0*-1*0*15
Damage,1|1|1
Stun,1|1|1
Deadly,0|0|0
ColVec,0*1.5*0.25*1.5|0*0*0*0|0*0*0*0
KnockBackVec,0*1*-1*0.1|0*-20*0*0.1
Introduction,蝦蟇喰を巻き付けて地面に叩きつける
UnLock,1|0|2
Chain,0
MoveType,1|1|3
AttackType,20|6|20
DownEnable,0|0|0
ColType,10|100|100
TimeType,1|100
HitEffect,HitEffect20|HitEffect20|HitEffect21
HitEffectPos,0*2*0.5|0*0.5*0|0*0*0
HitEffectAngle,-45*0*0|90*0*0|90*0*0
HitStop,0|0|0
Charge,0|0|0
HoldPos,0*0*0
LocationFlag,1
HitSE,_L|_L|_M
CoolDownTime,10
