NameC,瀕蝉
NameH,みぎわぜみ
UseCharacter,2
Anim,Motion_2_GroundAttack05
MoveVec,0*0*0.25*1|0*0*3*1
Damage,0|1
Stun,1|1
Deadly,1|1
ColVec,1.25*0.25*-90*180|1.25*0.25*90*180
KnockBackVec,0*-2.5*1*0.1|0*-2.5*1*0.1
Introduction,ブレイクダンスで周囲を巻き込む攻撃
UnLock,0|2|1
Chain,0|0
MoveType,0|0
AttackType,14|14
DownEnable,1|1
ColType,5|5
TimeType,0|0
HitEffect,HitEffect20|HitEffect20
HitEffectPos,0*0.25*0|0*-0.25*0
HitEffectAngle,0*90*0|0*90*0
HitStop,0|0|0
Charge,0|0|0
HoldPos,0*0*0
LocationFlag,0
HitSE,_L|_L
CoolDownTime,10
