NameC,瓢岬
NameH,ひさごみさき
UseCharacter,2
Anim,Motion_2_GroundAttack08
MoveVec,0*0*3*1|0*8*5*1|0*1*4*1|0*-3*3*1|0*3*2.5*1|0*-3*1*1|0*9*0*1
Damage,0|1
Stun,1|1
Deadly,1|1
ColVec,0*0*0*0.5|0*0*0*0.5
KnockBackVec,0*0*1*0.1|0*0*1*0.1
Introduction,敵の体を階段の様に駆け上がって自身は上空に上がる。
UnLock,0|1|0
Chain,0|0
MoveType,0|2|7|7|7|7|7
AttackType,3|4
DownEnable,1|1
ColType,0|0
TimeType,2|2
HitEffect,HitEffect20|HitEffect20
HitEffectPos,0*0.25*0.25|0*0.25*0.25
HitEffectAngle,90*0*0|90*0*0
HitStop,0|0
Charge,0|0
HoldPos,0*0*0
LocationFlag,0
HitSE,_L|_L
CoolDownTime,10
